
 *****Load users*****"

26274 function calls (25805 primitive calls) in 0.196 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 client_session.py:224(causal_consistency)
       29    0.000    0.000    0.000    0.000 client_session.py:238(snapshot)
       19    0.000    0.000    0.000    0.000 client_session.py:338(_validate_session_write_concern)
       10    0.000    0.000    0.000    0.000 client_session.py:396(__init__)
       89    0.000    0.000    0.000    0.000 client_session.py:406(active)
       20    0.000    0.000    0.000    0.000 client_session.py:425(unpin)
       10    0.000    0.000    0.000    0.000 client_session.py:431(reset)
       10    0.000    0.000    0.000    0.000 client_session.py:438(__del__)
       10    0.000    0.000    0.000    0.000 client_session.py:497(__init__)
        1    0.000    0.000    0.000    0.000 client_session.py:515(end_session)
       10    0.000    0.000    0.000    0.000 client_session.py:522(_end_session)
       11    0.000    0.000    0.000    0.000 client_session.py:534(_check_ended)
       28    0.000    0.000    0.000    0.000 client_session.py:551(options)
       10    0.000    0.000    0.000    0.000 client_session.py:562(cluster_time)
       10    0.000    0.000    0.000    0.000 client_session.py:874(_advance_cluster_time)
       10    0.000    0.000    0.000    0.000 client_session.py:896(_advance_operation_time)
       10    0.000    0.000    0.000    0.000 client_session.py:916(_process_response)
       79    0.000    0.000    0.000    0.000 client_session.py:936(in_transaction)
       10    0.000    0.000    0.000    0.000 client_session.py:949(_pinned_address)
       10    0.000    0.000    0.000    0.000 client_session.py:965(_unpin)
       10    0.000    0.000    0.000    0.000 client_session.py:976(_materialize)
       10    0.000    0.000    0.000    0.000 client_session.py:983(_apply_to)
        9    0.000    0.000    0.000    0.000 codec_options.py:136(__init__)
        9    0.000    0.000    0.000    0.000 codec_options.py:289(__init__)
        9    0.000    0.000    0.000    0.000 codec_options.py:374(__new__)
        9    0.000    0.000    0.000    0.000 codec_options.py:491(_parse_codec_options)
        9    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        8    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       32    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       19    0.000    0.000    0.000    0.000 collation.py:217(validate_collation_or_none)
       10    0.000    0.000    0.000    0.000 collection.py:129(__init__)
        9    0.000    0.000    0.068    0.008 collection.py:1475(find_one)
        9    0.000    0.000    0.000    0.000 collection.py:1510(find)
       19    0.000    0.000    0.000    0.000 collection.py:416(name)
       63    0.000    0.000    0.000    0.000 collection.py:421(database)
        1    0.000    0.000    0.009    0.009 collection.py:574(_insert_one)
        1    0.000    0.000    0.009    0.009 collection.py:591(_insert_command)
        1    0.000    0.000    0.009    0.009 collection.py:615(insert_one)
      522    0.000    0.000    0.000    0.000 common.py:1011(get)
